StatisticalCode,Unit,Goods,Rate#,ReferenceNumber,Tariffconcessionorders
,,"Not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres, other than goods of 4802624 or 4802625:",,,
56,t,Weighing 150 g/m2 or less,Free,,
1,t,Weighing more than 150 g/m2 but not more than 205 g/m2,5% CA:2.5%,,
57,t,Other,Free,,
66,t,"Paper, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process, other than goods of 4802624, as follows:(a) having a water absorbency, when tested by the one  minute Cobb method, of not less than 45 g/m2;(b) containing not less than 70% of mechanical wood pulp; and(c) weighing 40 g/m2 or more but not more than 62 g/m2",Free,,
,,"Goods specified in Additional Note 1 to this Chapter, NSA:",,,
58,t,Not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres,5%,,
59,t,Of which more than 10% but less than 65% by weight of the total fibre content consists of fibres obtained by a mechanical process,5% CA:2.5%,,
60,t,"Of which 65% or more by weight of the total fibre content consists of fibres obtained by a mechanical process, as follows:(a) weighing more than 57 g/m2; or(b) having an ash content by weight of more than 8%",Free,,
61,t,Other,Free,,
,,"Goods, NSA, made mainly from pulp obtained by a chemi  mechanical process:",,,
63,t,Multi  ply paper and paperboard weighing not more than 205 g/m2,Free,,
64,t,Multi  ply paper and paperboard weighing more than 205 g/m2,5% DCS:Free,,
65,t,"Goods, NSA, as follows:(a) weighing not more than 22 g/m2;(b) weighing more than 205 g/m2",Free,,
66,t,Other,Free,,
67,t,Other,Free,,
,,Other:,,,
86,t,"Goods, as follows: (a) in strips or rolls of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",5% CA:Free,,
,,"Not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres, other than goods of 4802694 or 4802695:",,,
70,t,Weighing 150 g/m2 or less,5%,,
71,t,Weighing more than 150 g/m2 but not more than 205 g/m2,Free,,
72,t,Other,5%DCS:Free CA:2.5%,,
84,t,"Paper, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process, other than goods of 4802694, as follows:(a) having a water absorbency, when tested by the one  minute Cobb method, of not less than 45 g/m2;(b) containing not less than 70% of mechanical wood pulp; and(c) weighing 40 g/m2 or more but not more than 62 g/m2",Free,,
,,"Goods specified in Additional Note 1 to this Chapter, NSA:",,,
73,t,Not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres,5%,,
74,t,Of which more than 10% but less than 65% by weight of the total fibre content consists of fibres obtained by a mechanical process,5%CA:2.5%,,
75,t,"Of which 65% or more by weight of the total fibre content consists of fibres obtained by a mechanical process, as follows:(a) weighing more than 57 g/m2; or(b) having an ash content by weight of more than 8%",5%CA:2.5%,,
76,t,Other,Free,,
,,"Goods, NSA, made mainly from pulp obtained by a chemi  mechanical process:",,,
78,t,Multi  ply paper and paperboard weighing not more than 205 g/m2,5%,,
79,t,Multi  ply paper and paperboard weighing more than 205 g/m2,5%DCS:Free,,
80,t,"Goods, NSA, as follows:(a) weighing not more than 22 g/m2;(b) weighing more than 205 g/m2",5%DCS:Free,,
81,t,Other,5%,,
82,t,Other,5%CA:2.5%,,
,,"TOILET OR FACIAL TISSUE STOCK, TOWEL OR NAPKIN STOCK AND SIMILAR PAPER OF A KIND USED FOR HOUSEHOLD OR SANITARY PURPOSES, CELLULOSE WADDING AND WEBS OF CELLULOSE FIBRES, WHETHER OR NOT CREPED, CRINKLED, EMBOSSED, PERFORATED, SURFACE  COLOURED, SURFACE  DECORATED OR PRINTED, IN ROLLS OR SHEETS:",,,
43,t,"Embossed or perforated, weighing more than 22 g/m2",5%,,
44,t,Other,5% DCS:Free,4803.00.90,
,,"UNCOATED KRAFT PAPER AND PAPERBOARD, IN ROLLS OR SHEETS, OTHER THAN THAT OF 4802 OR 4803:",,,
,,Kraftliner:,,,
,,Unbleached:,,,
83,t,Weighing not more than 205 g/m2,Free,,
84,t,Other,Free,4804.11.90,
,,Other:,,,
85,t,Weighing not more than 205 g/m2,Free,,
86,t,Other,Free,,
,,Sack kraft paper:,,,
87,t,Unbleached,5% CA:4%,,
88,t,Other,5%,4804.29.00,
,,Other kraft paper and paperboard weighing 150 g/m2 or less:,,4804.3,
89,t,Unbleached,5%,4804.31.00,
90,t,Other,5%,4804.39.00,
,,Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2:,,4804.4,
,,Unbleached:,,4804.41,
91,t,Weighing not more than 205 g/m2,Free,,
92,t,Other,Free,,
,,Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process:,,,
93,t,Weighing not more than 205 g/m2,Free,,
94,t,Other,Free,,
,,Other:,,,
95,t,Weighing not more than 205 g/m2,Free,,
96,t,Other,Free,,
,,Other kraft paper and paperboard weighing 225 g/m2 or more:,,,
97,t,Unbleached,Free,4804.51.00,
98,t,Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process,Free,4804.52.00,
99,t,Other,Free,,
,,"OTHER UNCOATED PAPER AND PAPERBOARD, IN ROLLS OR SHEETS, NOT FURTHER WORKED OR PROCESSED THAN AS SPECIFIED IN NOTE 3 TO THIS CHAPTER:",,,
,,Fluting paper:,,,
,,Semi  chemical fluting paper:,,,
30,t,Weighing not more than 205 g/m2,5%,,
31,t,Other,Free,,
,,Straw fluting paper:,,,
32,t,"Weighing 130 g/m2 or more, but not more than 205 g/m2",Free,,
33,t,Weighing more than 205 g/m2,5% DCS:Free,,
,,Other:,,,
34,t,Of multi  ply paper or paperboard weighing not more than 205 g/m2,5%,,
35,t,"Goods, as follows:(a) weighing not more than 22 g/m2;(b) weighing 205 g/m2 or more",5% DCS:Free,,
36,t,Other,5%,,
,,Testliner (recycled liner board):,,,
,,Weighing 150 g/m2 or less:,,,
37,t,Multi  ply paper and paperboard,5%,4805.24.10,
,,Other:,,,
38,t,Weighing 22 g/m2or less,Free,,
39,t,Other,5%,,
,,Weighing more than 150 g/m2:,,,
,,Multi  ply paper and paperboard:,,,
40,t,Weighing not more than 205 g/m2,5%,4805.25.11,
41,t,Other,5%DCS:Free,,
,,Other:,,,
42,t,Weighing not more than 205 g/m2,5%,,
43,t,Other,5%DCS:Free,,
44,t,Sulphite wrapping paper,5%DCS:Free,,
45,t,Filter paper and paperboard,5%,,
46,t,Felt paper and paperboard,Free,,
,,Other:,,,
,,Weighing 150 g/m2 or less:,,,
47,t,Multi  ply paper and paperboard,5%,,
,,Other:,,,
11,t,Weighing not more than 22 g/m2,5%DCS:Free,4805.91.91,
12,t,Other,Free,4805.91.99,
,,Weighing more than 150 g/m2 but less than 225 g/m2:,,,
,,Multi  ply paper and paperboard:,,,
13,t,Weighing more than 150 g/m2 but not more than 205 g/m2,5%,,
14,t,Other,5% DCS:Free,,
,,Other:,,,
15,t,Weighing more than 150 g/m2 but not more than 205 g/m2,5%,,
16,t,"Goods, NSA, as follows:(a) carton boards and box boards (including strawboard);(b) container board (excluding kraft)",5% DCS:4% DCT:5%,,
17,t,Other,5% DCS:Free,,
,,Weighing 225 g/m2 or more:,,,
18,t,Multi  ply paper and paperboard,5% DCS:Free,,
,,Other:,,,
19,t,"Goods, as follows:(a) carton boards and box boards (including strawboard);(b) container board (excluding kraft)",5% DCS:4% DCT:5%,,
20,t,Other,5% DCS:Free,,
,,"VEGETABLE PARCHMENT, GREASEPROOF PAPERS, TRACING PAPERS AND GLASSINE AND OTHER GLAZED TRANSPARENT OR TRANSLUCENT PAPERS, IN ROLLS OR SHEETS:",,,
21,t,Vegetable parchment,Free,,
22,t,Greaseproof papers,Free,,
23,t,Tracing papers,Free,,
24,t,Glassine and other glazed transparent or translucent papers,Free,,
25,t,"COMPOSITE PAPER AND PAPERBOARD (MADE BY STICKING FLAT LAYERS OF PAPER OR PAPERBOARD TOGETHER WITH AN ADHESIVE), NOT SURFACE  COATED OR IMPREGNATED, WHETHER OR NOT INTERNALLY REINFORCED, IN ROLLS OR SHEETS",Free,,
,,"PAPER AND PAPERBOARD, CORRUGATED (WITH OR WITHOUT GLUED FLAT SURFACE SHEETS), CREPED, CRINKLED, EMBOSSED OR PERFORATED, IN ROLLS OR SHEETS, OTHER THAN PAPER OF THE KIND DESCRIBED IN 4803:",,,
,,"Corrugated paper and paperboard, whether or not perforated:",,,
50,t,"Embossed or perforated, weighing not more than 205 g/m2",Free,,
51,t,Other,Free,,
,,"Kraft paper, creped or crinkled, whether or not embossed or perforated:",,,
70,t,"Embossed or perforated, weighing not more than 205 g/m2",Free,,
71,t,Other,Free,,
,,Other:,,,
74,t,"Embossed or perforated, weighing not more than 205 g/m2",5% CA:3%,,
76,t,Other,Free,,
,,"CARBON PAPER, SELF  COPY PAPER AND OTHER COPYING OR TRANSFER PAPERS (INCLUDING COATED OR IMPREGNATED PAPER FOR DUPLICATOR STENCILS OR OFFSET PLATES), WHETHER OR NOT PRINTED, IN ROLLS OR SHEETS:",,,
,,Self  copy paper,Free,4809.20.00,
43,t,In rolls,,,
44,t,In sheets,,,
,,Other:,,4809.9,
41,t,"Goods, as follows:(a) sublimation transfer printing paper having a width of not less than 09 m in rolls;(b) unsensitised prepared positive transfer media of the kind used for the photocopying of documents by the image  transfer process",Free,,
45,t,Other,5%,4809.90.90,
,,"PAPER AND PAPERBOARD, COATED ON ONE OR BOTH SIDES WITH KAOLIN (CHINA CLAY) OR OTHER INORGANIC SUBSTANCES, WITH OR WITHOUT A BINDER, AND WITH NO OTHER COATING, WHETHER OR NOT SURFACE  COLOURED, SURFACE  DECORATED OR PRINTED, IN ROLLS OR RECTANGULAR (INCLUDING SQUARE) SHEETS, OF ANY SIZE:",,,
,,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi  mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres:",,,
,,In rolls:,,,
42,t,"Cast coated paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres, in rolls of a width exceeding 15 cm",Free,,
,,Of a width not exceeding 15 cm:,,,
63,t,Printed for self  recording apparatus,5%,,
64,t,Other,Free,,
,,Other,5%,4810.13.90,
,,Weighing not more than 150 g/m2:,,,
50,t,Coated on one side,,,
53,t,Coated on two sides,,,
,,Weighing more than 150 g/m2:,,,
56,t,Coated on one side,,,
58,t,Coated on two sides,,,
,,"In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm, in the unfolded state:",,,
73,t,"Cast coated paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres, in the form of:(a) strips of a width exceeding 15 cm;(b) in rectangular (including square) sheets with one side exceeding 36 cm and the other side exceeding 15 cm, in the unfolded state",Free,,
,,"Goods, NSA, as follows:(a) in strips of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state:",,,
67,t,Printed for self  recording apparatus,5%,,
68,t,Other,Free,4810.14.29,
74,t,Other,5%,,
,,Other:,,,
75,t,"Cast coated paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres, in the form of:(a) strips of a width exceeding 15 cm;(b) in rectangular (including square) sheets with one side exceeding 36 cm and the other side exceeding 15 cm, in the unfolded state",Free,,
,,"Goods, NSA, as follows:(a) in strips of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state:",,,
71,t,Printed for self  recording apparatus,5%,,
72,t,Other,Free,,
,,Other,5%,4810.19.90,
,,Weighing not more than 150 g/m2:,,,
51,t,Coated on one side,,,
55,t,Coated on two sides,,,
,,Weighing more than 150 g/m2:,,,
57,t,Coated on one side,,,
64,t,Coated on two sides,,,
,,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical or chemi  mechanical process:",,,
,,Light  weight coated paper:,,,
74,t,"Goods, printed for self  recording apparatus, as follows:(a) in rolls or strips of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state; (c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",Free,,
75,t,"Goods, NSA, as follows:(a) in rolls or strips of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",Free,,
,,Other,Free,4810.22.90,
76,t,Weighing not more than 60 g/m2,,,
59,t,Weighing more than 60 g/m2,,,
,,Other:,,,
60,t,"Cast coated paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre content consists of such fibres, as follows:(a) in strips or rolls of a width exceeding 15 cm;(b) in rectangular (including square) sheets with one side exceeding 36 cm and the other side exceeding 15 cm, in the unfolded state",Free,,
78,t,"Goods, NSA, printed for self  recording apparatus, as follows:(a) in rolls or strips of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",Free,,
62,t,"Goods, NSA, as follows:(a) in rolls or strips of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",5%CA:Free,4810.29.30,
,,Other,5%,4810.29.90,
,,Containing less than 55% mechanical pulp:,,,
80,t,In rolls,,,
64,t,In sheets,,,
,,Containing 55% or more mechanical pulp:,,,
65,t,In rolls,,,
66,t,In sheets,,,
,,"Kraft paper and paperboard, other than that of a kind used for writing, printing or other graphic purposes:",,,
81,t,"Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m2 or less",Free,,
82,t,"Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing more than 150 g/m2",Free,,
83,t,Other,5%,,
,,Other paper and paperboard:,,,
84,t,Multi  ply,5%,4810.92.00,
85,t,Other,5%,4810.99.00,
,,"PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS OF CELLULOSE FIBRES, COATED, IMPREGNATED, COVERED, SURFACE  COLOURED, SURFACE  DECORATED OR PRINTED, IN ROLLS OR RECTANGULAR (INCLUDING SQUARE) SHEETS, OF ANY SIZE, OTHER THAN GOODS OF THE KIND DESCRIBED IN 4803, 4809 OR 4810:",,,
23,sm,"Tarred, bituminised or asphalted paper and paperboard",5%,,
,,Gummed or adhesive paper and paperboard:,,,
,,Self  adhesive:,,,
24,kg,"Goods, as follows:(a) in strips or rolls of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",5%,4811.41.10,
25,kg,Other,Free,4811.41.90,
,,Other:,,,
3,kg,"Goods, as follows:(a) in strips or rolls of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",5%,,
91,kg,"Decalcomania paper, NSA",Free,,
4,kg,Other,5%CA:Free,4811.49.90,
,,"Paper and paperboard, coated, impregnated or covered with plastics (excluding adhesives):",,,
30,t,"Bleached, weighing more than 150 g/m2",Free,4811.51.00,
,,Other:,,,
94,t,"Goods, as follows: (a) in strips or rolls of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",5%,4811.59.10,
29,sm,"Floor coverings on a base of paper or of paperboard, whether or not cut to size",Free,,
95,t,Other,5%CA:Free,4811.59.90,
34,t,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",5%,4811.60.00,
,,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres:",,,
32,sm,"Floor coverings on a base of paper or of paperboard, whether or not cut to size",5%,,
98,kg,"Indicator paper and paperboard, not being diagnostic reagent paper or paperboard, as follows:(a) in strips or rolls of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",Free,,
99,kg,"Goods, NSA, as follows:(a) in strips or rolls of a width not exceeding 15 cm;(b) in rectangular (including square) sheets in which no side exceeds 36 cm, in the unfolded state;(c) in rectangular sheets with one side exceeding 36 cm and the other side not exceeding 15 cm, in the unfolded state",5%,4811.90.30,
1,t,"Goods, as follows, in strips or rolls of a width exceeding 15 cm or in rectangular (including square) sheets with one side exceeding 36 cm and the other side exceeding 15 cm, in the unfolded state:(a) cast coated paper and paperboard;(b) enamelled blotting paper and paperboard;(c) flock coated, marbled and leatherette paper;(d) indicator paper and paperboard, NSA;(e) parchment paper and paperboard, greaseproof paper and paperboard, and imitations thereof, and glazed transparent paper, but excluding coated paper and paperboard",Free,,
,,Other,5%CA:Free,4811.90.90,
2,t,"Surface  coloured, surface  decorated, ruled, lined, squared or printed",,,
,,Other:,,,
67,t,Printing and writing paper,,,
68,t,Facsimile paper weighing less than 100 g/m2,,,
72,t,Other,,,
10,kg,"FILTER BLOCKS, SLABS AND PLATES, OF PAPER PULP",Free,,
,,"CIGARETTE PAPER, WHETHER OR NOT CUT TO SIZE OR IN THE FORM OF BOOKLETS OR TUBES:",,,
,,In the form of booklets or tubes,Free,,
1,..,In the form of booklets,,,
2,..,In the form of tubes,,,
12,..,In rolls of a width not exceeding 5 cm,Free,,
13,t,Other,Free,,
,,WALLPAPER AND SIMILAR WALL COVERINGS; WINDOW TRANSPARENCIES OF PAPER:,,,
57,No,"Wallpaper and similar wall coverings, consisting of paper coated or covered, on the face side, with a grained, embossed, coloured, design  printed or otherwise decorated layer of plastics",5% CA:Free,,
58,No,Other,5% DCS:4% CA:Free DCT:5%,,
,,"CARBON PAPER, SELF  COPY PAPER AND OTHER COPYING OR TRANSFER PAPERS (OTHER THAN THOSE OF 4809), DUPLICATOR STENCILS AND OFFSET PLATES, OF PAPER, WHETHER OR NOT PUT UP IN BOXES:",,,
60,kg,Self  copy paper,Free,4816.20.00,
,,Other:,,,
30,kg,Unsensitised prepared positive transfer media of the type used for the photocopying of documents by the image  transfer process,Free,,
23,kg,Other,5%,4816.90.90,
,,"ENVELOPES, LETTER CARDS, PLAIN POSTCARDS AND CORRESPONDENCE CARDS, OF PAPER OR PAPERBOARD; BOXES, POUCHES, WALLETS AND WRITING COMPENDIUMS, OF PAPER OR PAPERBOARD, CONTAINING AN ASSORTMENT OF PAPER STATIONERY:",,,
26,TH,Envelopes,5%,4817.10.00,
27,..,"Letter cards, plain postcards and correspondence cards",5%,4817.20.00,
28,..,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery",5%,4817.30.00,
,,"TOILET PAPER AND SIMILAR PAPER, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBRES, OF A KIND USED FOR HOUSEHOLD OR SANITARY PURPOSES, IN ROLLS OF A WIDTH NOT EXCEEDING 36 cm, OR CUT TO SIZE OR SHAPE; HANDKERCHIEFS, CLEANSING TISSUES, TOWELS, TABLECLOTHS, SERVIETTES, BED SHEETS AND SIMILAR HOUSEHOLD, SANITARY OR HOSPITAL ARTICLES, ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF PAPER PULP, PAPER, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBRES:",,,
1,kg,Toilet paper,5%,,
2,..,"Handkerchiefs, cleansing or facial tissues and towels",5%,,
3,..,Tablecloths and serviettes,5%,4818.30.00,
37,..,Articles of apparel and clothing accessories,5%,,
8,..,Other,5%,4818.90.00,
,,"CARTONS, BOXES, CASES, BAGS AND OTHER PACKING CONTAINERS, OF PAPER, PAPERBOARD, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBRES; BOX FILES, LETTER TRAYS, AND SIMILAR ARTICLES, OF PAPER OR PAPERBOARD OF A KIND USED IN OFFICES, SHOPS OR THE LIKE:",,,
9,kg,"Cartons, boxes and cases, of corrugated paper or paperboard",5%,4819.10.00,
10,kg,"Folding cartons, boxes and cases, of non  corrugated paper or paperboard",5%,4819.20.00,
11,kg,"Sacks and bags, having a base of a width of 40 cm or more",5%,,
12,kg,"Other sacks and bags, including cones",5%,4819.40.00,
13,kg,"Other packing containers, including record sleeves",5%,4819.50.00,
14,kg,"Box files, letter trays, storage boxes and similar articles, of a kind used in offices, shops or the like",5%,4819.60.00,
,,"REGISTERS, ACCOUNT BOOKS, NOTE BOOKS, ORDER BOOKS, RECEIPT BOOKS, LETTER PADS, MEMORANDUM PADS, DIARIES AND SIMILAR ARTICLES, EXERCISE BOOKS, BLOTTING  PADS, BINDERS (LOOSE  LEAF OR OTHER), FOLDERS, FILE COVERS, MANIFOLD BUSINESS FORMS, INTERLEAVED CARBON SETS AND OTHER ARTICLES OF STATIONERY, OF PAPER OR PAPERBOARD; ALBUMS FOR SAMPLES OR FOR COLLECTIONS AND BOOK COVERS, OF PAPER OR PAPERBOARD:",,,
,,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles",5%,4820.10.00,
15,kg,Diaries,,,
16,..,Other,,,
,,Exercise books:,,,
31,..,Work books with printed texts and blank spaces to be filled in,Free,,
32,..,Other,Free,4820.20.90,
18,..,"Binders (other than book covers), folders and file covers",5%,4820.30.00,
19,kg,Manifold business forms and interleaved carbon sets,Free,,
20,..,Albums for samples or for collections,5%,4820.50.00,
21,..,Other,5%,4820.90.00,
,,"PAPER OR PAPERBOARD LABELS OF ALL KINDS, WHETHER OR NOT PRINTED:",,,
22,kg,Printed,5%,,
23,kg,Other,5%,4821.90.00,
,,"BOBBINS, SPOOLS, COPS AND SIMILAR SUPPORTS OF PAPER PULP, PAPER OR PAPERBOARD (WHETHER OR NOT PERFORATED OR HARDENED):",,,
24,kg,Of a kind used for winding textile yarn,Free,,
25,kg,Other,Free,,
,,"OTHER PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS OF CELLULOSE FIBRES, CUT TO SIZE OR SHAPE; OTHER ARTICLES OF PAPER PULP, PAPER, PAPERBOARD, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBRES:",,,
5,kg,Filter paper and paperboard,5%,,
6,..,"Rolls, sheets and dials, printed for self  recording apparatus",5%,,
,,"Trays, dishes, plates, cups and the like, of paper or paperboard:",,,
27,..,Of bamboo,Free,,
28,..,Other,5%,4823.69.00,
14,..,Moulded or pressed articles of paper pulp,5%,4823.70.00,
,,Other:,,,
18,kg,"Goods, as follows:(a) aseptic paper, not including goods and/or articles of aseptic paper;(b) filters wholly of filter paper;(c) monotype paper;(d) paper for use in wrapping fruit;(e) perforated cards for Jacquard and similar machines",Free,,
21,t,"Other paper and paperboard, of a kind used for writing, printing or other graphic purposes",5% CA:Free,4823.90.20,
,,"Uncoated kraft paper and paperboard, in strips or rolls of a width exceeding 15 cm but not exceeding 36 cm, other than goods of 48239020:",,,
30,t,"Kraftliner, weighing not more than 205 g/m2",Free,,
31,t,"Kraftliner, weighing more than 205 g/m2",Free,,
32,t,"Sack kraft paper, unbleached",5%CA:4%,,
36,t,Other sack kraft paper,5%,,
37,t,"Kraft paper and paperboard, NSA, weighing not more than 205 g/m2",Free,,
38,t,"Kraft paper and paperboard, NSA, weighing more than 205 g/m2 but less than 225 g/m2, as follows:(a) unbleached;(b) bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process",5% DCS:Free,,
39,t,"Kraft paper and paperboard, NSA, weighing more than 205 g/m2 but less than 225 g/m2",5% DCS:4% DCT:5%,,
40,t,"Kraft paper and paperboard, NSA, weighing 225 g/m2 or more, bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process",Free,,
41,t,Other,Free,,
,,"Other uncoated paper and paperboard, not further worked or processed than as specified in Additional Note 6 to this Chapter, in strips or rolls of a width exceeding 15 cm but not exceeding 36 cm, other than goods of 4823905:",,,
42,t,"Semi  chemical fluting paper, weighing not more than 205 g/m2",5%,,
43,t,"Semi  chemical fluting paper, weighing more than 205 g/m2",5% DCS:Free,,
44,t,"Multi  ply paper and paperboard, weighing not more than 205 g/m2",Free,,
45,t,"Multi  ply paper and paperboard, weighing more than 205 g/m2",5% DCS:Free,,
46,t,Sulphite wrapping paper,5% DCS:Free,,
47,t,Felt paper and paperboard,Free,,
,,"Other uncoated paper and paperboard, not further worked or processed than as specified in Additional Note 6 to this Chapter, in strips or rolls of a width exceeding 15 cm but not exceeding 36 cm, other than goods of 4823904:",,,
48,t,Weighing not more than 22 g/m2,5% DCS:Free,,
49,t,Weighing more than 22 g/m2 but not more than 205 g/m2,Free,,
50,t,Weighing more than 205 g/m2 as follows:(a) carton boards and box boards (including strawboard);(b) container board (excluding kraft),5% DCS:4% DCT:5%,,
51,t,Other,Free,,
52,t,"Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in strips or rolls of a width exceeding 15 cm but not exceeding 36 cm",Free,,
53,t,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface  coated or impregnated, whether or not internally reinforced, in strips or rolls of a width exceeding 15 cm but not exceeding 36 cm",Free,,
,,"Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, other than paper of the kind described in 4803, in strips or rolls of a width exceeding 15 cm but not exceeding 36 cm:",,,
54,t,"Paper and paperboard, whether or not embossed or perforated, weighing not more than 205 g/m2, as follows:(a) corrugated paper or paperboard;(b) kraft paper, creped or crinkled",Free,,
57,t,"Other paper or paperboard, weighing not more than 205 g/m2, embossed or perforated",5% CA:3%,,
58,t,Other,Free,,
59,kg,Other,5%,4823.90.90,
,,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS:",,4901,
1,..,"In single sheets, whether or not folded",Free,4901.10.00,
,,Other:,,4901.9,
2,No,"Dictionaries and encyclopaedias, and serial instalments thereof",Free,4901.91.00,
,,Other:,,4901.99,
30,No,Australian telephone directories and Australian timetables,Free,4901.99.10,
,,Other,Free,4901.99.90,
,,"Books, booklets:",,,
3,No,Fashion books,,,
,,Other:,,,
31,No,Paperbound or unbound,,,
5,No,Other,,,
32,No,Other,,,
,,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT ILLUSTRATED OR CONTAINING ADVERTISING MATERIAL:",,,
7,No,Appearing at least four times a week,Free,4902.10.00,
,,Other,Free,4902.90.00,
8,No,Comics and similar publications where the content is expressed mainly by means of illustrations,,,
19,No,Other,,,
,,"CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS",Free,4903.00.00,
12,No,Paperbound or unbound,,,
13,No,Other,,,
14,No,"MUSIC, PRINTED OR IN MANUSCRIPT, WHETHER OR NOT BOUND OR ILLUSTRATED",Free,4904.00.00,
,,"MAPS AND HYDROGRAPHIC OR SIMILAR CHARTS OF ALL KINDS, INCLUDING ATLASES, WALL MAPS, TOPOGRAPHICAL PLANS AND GLOBES, PRINTED:",,4905,
18,No,In book form,Free,4905.20.00,
19,No,Other,Free,4905.90.00,
