NCM,DESCRICAO,ALIçQUOTA(%),,,,
18.03,"Pasta de cacau, mesmo desengordurada.",,,,,
1803.10.00, no desengordurada,0,,,,
1803.20.00, Total ou parcialmente desengordurada,0,,,,
,,,,,,
1804.00.00,"Manteiga, gordura e ≥leo, de cacau.",0,,,,
,,,,,,
1805.00.00,"Cacau em p≥, sem adio de acar ou de outros edulcorantes.",0,,,,
,,,,,,
18.06,Chocolate e outras preparaµes aliment≠cias que contenham cacau.,,,,,
1806.10.00," Cacau em p≥, Com adio de acar ou de Outros edulcorantes",0,,,,
1806.20.00,"- Outras preparaµes em blocos ou em barras, de peso superior a 2 kg, ou no estadol≠quido, em pasta, em p≥, gr¢nulos ou formas semelhantes, em recipientes ou embalagensimediatas de contedo superior a 2 kg",0,,,,
1806.3,"- Outros, em tabletes, barras e paus:",,,,,
1806.31,Recheados,,,,,
1806.31.10,Chocolate,"3,25",,,,
1806.31.20,Outras preparaµes,"3,25",,,,
1806.32,No recheados,,,,,
1806.32.10,Chocolate,"3,25",,,,
1806.32.20,Outras preparaµes,"3,25",,,,
1806.90.00, Outros,"3,25",,,,
,"Ex 01 - Achocolatados, assim entendidos os produtos † base de chocolate, em p≥ ou emgr¢nulos, destinados † mistura com °gua ou leite",0,,,,
19.01,"Extratos de malte; preparaµes aliment≠cias de farinhas, grumos, s™molas, amidos,fculas ou de extratos de malte, que no contenham cacau ou que contenham menosde 40 %, em peso, de cacau, calculado sobre uma base totalmente desengordurada,no especificadas nem compreendidas noutras posiµes; preparaµes aliment≠ciasde produtos das posiµes 04.01 a 04.04, que no contenham cacau ou que contenhammenosde5 %,empeso,decacau,calculadosobreumabasetotalmentedesengordurada, no especificadas nem compreendidas noutras posiµes.",,,,,
1901.1,"- Preparaµes para alimentao de lactentes e crianas de tenra idade, acondicionadaspara venda a retalho",,,,,
1901.10.10,Leite modificado,0,,,,
1901.10.20,Farinha l°ctea,0,,,,
1901.10.30,"Ä base de farinha, grumos, s™mola ou amido",0,,,,
1901.10.90,Outras,0,,,,
1901.2,"- Misturas e pastas para a preparao de produtos de padaria, pastelaria e da indstria debolachas e biscoitos, da posio 19.05",,,,,
1901.20.10,"Massa para a preparao de po, sem adio de gros ou sementes integrais, congelada",0,,,,
,Ex 01 - Pr-misturas pr≥prias para fabricao de po do tipo comum,0,,,,
1901.20.20,"Massa para a preparao de po, com adio de gros ou sementes integrais, congelada",0,,,,
1901.20.90,Outras,0,,,,
,Ex 01 - Pr-misturas pr≥prias para fabricao de po do tipo comum,0,,,,
1901.9, Outros,,,,,
1901.90.10,Extrato de malte,0,,,,
1901.90.20,Doce de leite,0,,,,
1901.90.90,Outros,0,,,,
,,,,,,
19.02,"Massasaliment≠cias,mesmocozidasourecheadas(decarneoudeoutrassubst¢ncias) ou preparadas de outro modo, tais como espaguete, macarro, aletria,lasanha, nhoque, ravi≥li e canelone; cuscuz, mesmo preparado.",,,,,
1902.1,"- Massas aliment≠cias no cozidas, nem recheadas, nem preparadas de outro modo:",,,,,
1902.11.00,que contenham Ovos,0,,,,
1902.19.00,Outras,0,,,,
1902.20.00, Massas aliment≠cias recheadas (mesmo cozidas ou preparadas de outro modo),0,,,,
1902.30.00, Outras Massas aliment≠cias,0,,,,
1902.40.00, Cuscuz,0,,,,
,,,,,,
1903.00.00,"Tapioca e seus suced¢neos preparados a partir de fculas, em flocos, grumos, gros,prolas ou formas semelhantes.",0,,,,
,,,,,,
19.04,"Produtos † base de cereais, obtidos por expanso ou por torrefao (flocos de milho(corn flakes), por exemplo); cereais (exceto milho) em gros ou sob a forma de flocosou de outros gros trabalhados (com exceo da farinha, do grumo e da s™mola), pr-cozidosoupreparadosdeoutromodo,noespecificadosnemcompreendidosnoutras posiµes.",,,,,
1904.10.00,"- Produtos † base de cereais, obtidos por expanso ou por torrefao",0,,,,
1904.20.00,"- Preparaµes aliment≠cias obtidas a partir de flocos de cereais no torrados ou de misturasde flocos de cereais no torrados com flocos de cereais torrados ou expandidos",0,,,,
1904.30.00, Trigo bulgur,0,,,,
1904.90.00, Outros,0,,,,
,,,,,,
19.05,"Produtos de padaria, pastelaria ou da indstria de bolachas e biscoitos, mesmoadicionados de cacau; h≥stias, c°psulas vazias para medicamentos, obreias, pastassecas de farinha, amido ou fcula, em folhas, e produtos semelhantes.",,,,,
1905.10.00, po crocante denominado kn§ckebrot,0,,,,
1905.2, po de especiarias,,,,,
1905.20.10,Panetone,0,,,,
1905.20.90,Outros,0,,,,
1905.3,"- Bolachas e biscoitos, adicionados de edulcorantes; waffles e wafers:",,,,,
1905.31.00,"Bolachas e biscoitos, Adicionados de edulcorantes",0,,,,
1905.32.00,Waffles e wafers,0,,,,
1905.40.00," Torradas (tostas), po torrado e produtos semelhantes torrados",0,,,,
1905.9, Outros,,,,,
1905.90.10,Po de forma,0,,,,
1905.90.20,Bolachas e biscoitos,0,,,,
1905.90.90,Outros,0,,,,
,Ex 01 - Po do tipo comum,0,,,,
20.01,"Produtos hort≠colas, fruta e outras partes comest≠veis de plantas, preparados ouconservados em vinagre ou em °cido actico.",,,,,
2001.10.00, Pepinos e pepininhos (cornichons),0,,,,
2001.90.00, Outros,0,,,,
,,,,,,
20.02,"Tomates preparados ou conservados, exceto em vinagre ou em °cido actico.",,,,,
2002.10.00, Tomates inteiros ou em pedaos,0,,,,
,Ex 01 - Cozidos (exceto em °gua ou vapor) e congelados,NT,,,,
2002.90.00, Outros,0,,,,
,Ex 01 - Cozidos (exceto em °gua ou vapor) e congelados,NT,,,,
20.03,"Cogumelos e trufas, preparados ou conservados, exceto em vinagre ou em °cidoactico.",,,,,
2003.10.00, Cogumelos do g™nero Agaricus,0,,,,
,Ex 01 - Cozidos (exceto em °gua ou vapor) e congelados,NT,,,,
2003.90.00, Outros,0,,,,
,Ex 01 - Cozidos (exceto em °gua ou vapor) e congelados,NT,,,,
,Ex 02 - Trufas cozidas (exceto em °gua ou vapor) e congeladas,NT,,,,
,Ex 03 - Outras trufas,"3,25",,,,
,,,,,,
20.04,"Outros produtos hort≠colas preparados ou conservados, exceto em vinagre ou em°cido actico, congelados, com exceo dos produtos da posio 20.06.",,,,,
2004.10.00, Batatas,0,,,,
,Ex 01 - Cozidas (exceto em °gua ou vapor),NT,,,,
2004.90.00, Outros produtos hort≠colas e Misturas de produtos hort≠colas,0,,,,
,Ex 01 - Cozidos (exceto em °gua ou vapor),NT,,,,
,,,,,,
20.05,"Outros produtos hort≠colas preparados ou conservados, exceto em vinagre ou em°cido actico, no congelados, com exceo dos produtos da posio 20.06.",,,,,
2005.10.00, produtos hort≠colas homogeneizados,0,,,,
2005.20.00, Batatas,0,,,,
2005.40.00, Ervilhas (Pisum sativum),0,,,,
2005.5,"- Feijµes (Vigna spp., Phaseolus spp.):",,,,,
2005.51.00,Feijµes em gros,0,,,,
2005.59.00,Outros,0,,,,
2005.60.00, Aspargos,0,,,,
2005.70.00, Azeitonas,0,,,,
2005.80.00, Milho doce (Zea mays var. saccharata),0,,,,
2005.9,- Outros produtos hort≠colas e misturas de produtos hort≠colas:,,,,,
2005.91.00,Brotos (rebentos) de bambu,0,,,,
2005.99.00,Outros,0,,,,
,,,,,,
2006.00.00,"Produtos hort≠colas, fruta, cascas de fruta e outras partes de plantas, conservadoscom acar (passados por calda, glaados ou cristalizados).",0,,,,
,,,,,,
20.07,"Doces, geleias, marmelades, pur™s e pastas de fruta, obtidos por cozimento, mesmocom adio de acar ou de outros edulcorantes.",,,,,
2007.10.00, Preparaµes homogeneizadas,0,,,,
2007.9,- Outros:,,,,,
2007.91.00,de citros (citrinos),0,,,,
2007.99,Outros,,,,,
2007.99.10,Geleias e marmelades,0,,,,
2007.99.2,Pur™s,,,,,
2007.99.21,De aa≠ (Euterpe oleracea),0,,,,
2007.99.22,De acerola (Malpighia spp.),0,,,,
2007.99.23,De banana (Musa spp.),0,,,,
2007.99.24,De goiaba (Psidium guajava),0,,,,
2007.99.25,De manga (Mangifera indica),0,,,,
2007.99.26,De cupuau (Theobroma grandiflorum),0,,,,
2007.99.27,De mamo (papaia) (Carica papaya L.),0,,,,
2007.99.29,Outros,0,,,,
2007.99.90,Outros,0,,,,
,,,,,,
20.08,"Fruta e outras partes comest≠veis de plantas, preparadas ou conservadas de outromodo, mesmo com adio de acar ou de outros edulcorantes ou de °lcool, noespecificadas nem compreendidas noutras posiµes.",,,,,
2008.1,"- Fruta de casca rija, amendoins e outras sementes, mesmo misturados entre si:",,,,,
2008.11.00,amendoins,0,,,,
2008.19.00,"Outros, incluindo as Misturas",0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes, exclu≠das as misturas",NT,,,,
2008.2, Abacaxis (ananases),,,,,
2008.20.10,"Em °gua edulcorada, incluindo os xaropes",0,,,,
2008.20.90,Outros,0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.30.00, citros (citrinos),0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.4, Peras,,,,,
2008.40.10,"Em °gua edulcorada, incluindo os xaropes",0,,,,
2008.40.90,Outras,0,,,,
,"Ex 01 - Cozidas (exceto em °gua e vapor), congeladas e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.50.00, Damascos,0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.6, Cerejas,,,,,
2008.60.10,"Em °gua edulcorada, incluindo os xaropes",0,,,,
2008.60.90,Outras,0,,,,
,"Ex 01 - Cozidas (exceto em °gua e vapor), congeladas e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.7," P™ssegos, incluindo as nectarinas",,,,,
2008.70.10,"Em °gua edulcorada, incluindo os xaropes",0,,,,
2008.70.20,Polpa com valor Brix igual ou superior a 20,0,,,,
2008.70.90,Outros,0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.80.00, Morangos,0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.9,"- Outras, incluindo as misturas, com excluso das da subposio 2008.19:",,,,,
2008.91.00,Palmitos,0,,,,
2008.93.00,"Arandos vermelhos (cranberries) (Vaccinium macrocarpon, Vaccinium oxycoccos); airelavermelha (Vaccinium vitis-idaea)",0,,,,
,"Ex 01 - Cozidos (exceto em °gua e vapor), congelados e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.97,Misturas,,,,,
2008.97.10,"Em °gua edulcorada, incluindo os xaropes",0,,,,
2008.97.90,Outras,0,,,,
,"Ex 01 - Cozidas (exceto em °gua e vapor), congeladas e sem adio de acar ou deoutros edulcorantes",NT,,,,
2008.99.00,Outras,0,,,,
,"Ex 01 - Cozidas (exceto em °gua e vapor), congeladas e sem adio de acar ou deoutros edulcorantes",NT,,,,
,,,,,,
20.09,"Sucos (sumos) de fruta (incluindo os mostos de uvas e a °gua de coco) ou deprodutos hort≠colas, no fermentados, sem adio de °lcool, mesmo com adio deacar ou de outros edulcorantes.",,,,,
2009.1,- Suco (sumo) de laranja:,,,,,
2009.11.00,Congelado,0,,,,
2009.12.00,"No congelado, com valor Brix no superior a 20",0,,,,
2009.19.00,Outros,0,,,,
2009.2,- Suco (sumo) de toranja; suco (sumo) de pomelo:,,,,,
2009.21.00,Com valor Brix no superior a 20,0,,,,
2009.29.00,Outros,0,,,,
2009.3,- Suco (sumo) de qualquer outro citro (citrino):,,,,,
2009.31.00,Com valor Brix no superior a 20,0,,,,
2009.39.00,Outros,0,,,,
2009.4,- Suco (sumo) de abacaxi (anan°s):,,,,,
2009.41.00,Com valor Brix no superior a 20,0,,,,
2009.49.00,Outros,0,,,,
2009.50.00, Suco (sumo) de tomate,0,,,,
2009.6,- Suco (sumo) de uva (incluindo os mostos de uvas):,,,,,
2009.61.00,Com valor Brix no superior a 30,0,,,,
2009.69.00,Outros,0,,,,
2009.7,- Suco (sumo) de ma:,,,,,
2009.71.00,Com valor Brix no superior a 20,0,,,,
2009.79.00,Outros,0,,,,
2009.8,- Suco (sumo) de qualquer outra fruta ou produto hort≠cola:,,,,,
2009.81.00,"Suco(sumo)dearandovermelho(cranberry)(Vacciniummacrocarpon,Vacciniumoxycoccos); suco (sumo) de airela vermelha (Vaccinium vitis-idaea)",0,,,,
2009.89,Outros,,,,,
2009.89.1,"Suco (sumo) de p™ssego, de acerola (Malpighia spp.) e de maracuj° (Passiflora edulis)",,,,,
2009.89.11,"De p™ssego, com valor Brix igual ou superior a 60",0,,,,
2009.89.12,De acerola (Malpighia spp.),0,,,,
2009.89.13,De maracuj° (Passiflora edulis),0,,,,
2009.89.19,Outros,0,,,,
2009.89.2,Ågua de coco (Cocos nucifera),,,,,
2009.89.21,"Com valor Brix no superior a 7,4",0,,,,
2009.89.22,"Com valor Brix superior a 7,4",0,,,,
2009.89.90,Outros,0,,,,
2009.90.00, Misturas de Sucos (sumos),0,,,,
21.01,"Extratos, ess™ncias e concentrados de caf, ch° ou mate e preparaµes † base destesprodutos ou † base de caf, ch° ou mate; chic≥ria torrada e outros suced¢neostorrados do caf e respectivos extratos, ess™ncias e concentrados.",,,,,
2101.1,"- Extratos, ess™ncias e concentrados de caf e preparaµes † base destes extratos,ess™ncias ou concentrados ou † base de caf:",,,,,
2101.11,"extratos, ess™ncias e concentrados",,,,,
2101.11.10,"Caf solvel, mesmo descafeinado",0,,,,
2101.11.90,Outros,0,,,,
2101.12.00,"Preparaµes † base de extratos, ess™ncias ou concentrados ou † base de caf",0,,,,
2101.2,"- Extratos, ess™ncias e concentrados de ch° ou de mate e preparaµes † base destesextratos, ess™ncias ou concentrados ou † base de ch° ou de mate",,,,,
2101.20.10,De ch°,0,,,,
2101.20.20,De mate,0,,,,
2101.30.00,"- Chic≥ria torrada e outros suced¢neos torrados do caf e respectivos extratos, ess™nciase concentrados",0,,,,
,,,,,,
21.02,"Leveduras (vivas ou mortas); outros microrganismos monocelulares mortos (excetoas vacinas da posio 30.02); p≥s para levedar, preparados.",,,,,
2102.1, Leveduras vivas,,,,,
2102.10.10,Saccharomyces boulardii,0,,,,
2102.10.90,Outras,0,,,,
2102.20.00,- Leveduras mortas; outros microrganismos monocelulares mortos,NT,,,,
,Ex 01 - Leveduras mortas,0,,,,
2102.30.00," p≥s para levedar, preparados",0,,,,
,,,,,,
21.03,"Preparaµesparamolhosemolhospreparados;condimentosetemperoscompostos; farinha de mostarda e mostarda preparada.",,,,,
2103.1, Molho de soja,,,,,
2103.10.10,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2103.10.90,Outros,0,,,,
2103.2, Ketchup e Outros molhos de tomate,,,,,
2103.20.10,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2103.20.90,Outros,0,,,,
2103.3, Farinha de mostarda e mostarda preparada,,,,,
2103.30.10,Farinha de mostarda,0,,,,
2103.30.2,Mostarda preparada,,,,,
2103.30.21,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2103.30.29,Outras,0,,,,
2103.9, Outros,,,,,
2103.90.1,Maionese,,,,,
2103.90.11,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2103.90.19,Outra,0,,,,
2103.90.2,"Condimentos e temperos, compostos",,,,,
2103.90.21,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2103.90.29,Outros,0,,,,
2103.90.9,Outros,,,,,
2103.90.91,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2103.90.99,Outros,0,,,,
,,,,,,
21.04,"Preparaµesparacaldosesopas;caldosesopaspreparados;preparaµesaliment≠cias compostas homogeneizadas.",,,,,
2104.1,- Preparaµes para caldos e sopas; caldos e sopas preparados,,,,,
2104.10.1,Preparaµes para caldos e sopas,,,,,
2104.10.11,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2104.10.19,Outras,0,,,,
2104.10.2,Caldos e sopas preparados,,,,,
2104.10.21,Em embalagens imediatas de contedo inferior ou igual a 1 kg,0,,,,
2104.10.29,Outros,0,,,,
2104.20.00, Preparaµes aliment≠cias compostas homogeneizadas,0,,,,
,,,,,,
2105,"Sorvetes (gelados*), mesmo que contenham cacau.",,,,,
2105.00.10,Em embalagens imediatas de contedo inferior ou igual a 2 kg,"3,25",,,,
2105.00.90,Outros,"3,25",,,,
,,,,,,
21.06,Preparaµes aliment≠cias no especificadas nem compreendidas noutras posiµes.,,,,,
2106.10.00,- Concentrados de prote≠nas e subst¢ncias proteicas texturizadas,0,,,,
2106.9, Outras,,,,,
2106.90.10,Preparaµes do tipo utilizado para elaborao de bebidas,0,,,,
,"Ex 01 - Preparaµes compostas, no alco≥licas (extratos concentrados ou saboresconcentrados), para elaborao de bebida da posio 22.02, com capacidade dediluio superior a 10 partes da bebida para cada parte do concentrado",8,,,,
,"Ex 02 - Preparaµes compostas, no alco≥licas (extratos concentrados ou saboresconcentrados), para elaborao de bebida refrigerante do Cap≠tulo 22, com capacidadede diluio de at 10 partes da bebida para cada parte do concentrado",0,,,,
2106.90.2,"P≥s, inclusive com adio de acar ou outro edulcorante, para a fabricao de pudins,cremes, sorvetes, flans, gelatinas ou preparaµes semelhantes",,,,,
2106.90.21,"Para a fabricao de pudins, em embalagens imediatas de contedo inferior ou iguala 1 kg",0,,,,
2106.90.29,Outros,0,,,,
2106.90.30,Suplementos alimentares,0,,,,
2106.90.40,Misturas † base de ascorbato de s≥dio e glucose pr≥prias para embutidos,0,,,,
2106.90.50,"Gomas de mascar, sem acar",0,,,,
2106.90.60,"Caramelos, confeitos, pastilhas e produtos semelhantes, sem acar",0,,,,
2106.90.90,Outras,0,,,,
22.01,"Åguas, incluindo as °guas minerais, naturais ou artificiais, e as °guas gaseificadas,no adicionadas de acar ou de outros edulcorantes nem aromatizadas; gelo e neve.",,,,,
2201.10.00,- Åguas minerais e °guas gaseificadas,"2,6",,,,
,"Ex 01 - Åguas minerais naturais comercializadas em recipientes com capacidade nominalinferior a 10 (dez) litros",NT,,,,
,"Ex 02 - Åguas minerais naturais comercializadas em recipientes com capacidade nominaligual ou superior a 10 (dez) litros",NT,,,,
2201.90.00, Outros,NT,,,,
,,,,,,
22.02,"Åguas, incluindo as °guas minerais e as °guas gaseificadas, adicionadas de acarou de outros edulcorantes ou aromatizadas e outras bebidas no alco≥licas, excetosucos (sumos) de fruta ou de produtos hort≠colas da posio 20.09.",,,,,
2202.10.00,"- Åguas, incluindo as °guas minerais e as °guas gaseificadas, adicionadas de acar oude outros edulcorantes ou aromatizadas","2,6",,,,
,Ex 01 - Refrescos,"2,6",,,,
2202.9,- Outras:,,,,,
2202.91.00,Cerveja Sem °lcool,"3,9",,,,
2202.99.00,Outras,"2,6",,,,
,Ex 01 - Bebidas alimentares † base de soja ou de leite e cacau,0,,,,
,Ex 02 - Nctares de frutas,0,,,,
,"Ex 03 - Alimentos para praticantes de atividade f≠sica nos termos da Resoluo RDC no18, de 27 de abril de 2010, da Ag™ncia Nacional de Vigil¢ncia Sanit°ria, do Ministrio daSade: repositores hidroeletrol≠ticos e outros","2,6",,,,
,"Ex 04 - Compostos l≠quidos pronto para consumo nos termos da Resoluo RDC no 273,de 22 de setembro de 2005, da Ag™ncia Nacional de Vigil¢ncia Sanit°ria, do Ministrioda Sade","2,6",,,,
,"Ex 05 - Bebidas alimentares † base ou elaboradas a partir de matrias-primas vegetaisclassificadas nas posiµes 08.01 ou 08.02, no Cap≠tulo 10 ou no Cap≠tulo 12, exceto aposio 12.01, que no contenham leite animal, produtos l°cteos ou gorduras delesderivados em sua composio",0,,,,
,,,,,,
2203.00.00,Cervejas de malte.,"3,9",,,,
,Ex 01 - Chope,"3,9",,,,
,,,,,,
22.04,"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com °lcool; mostos deuvas, excluindo os da posio 20.09.",,,,,
2204.1, Vinhos espumantes e Vinhos espumosos,,,,,
2204.10.10,Tipo champanha (champagne),"6,5",,,,
2204.10.90,Outros,"6,5",,,,
2204.2,"- Outros vinhos; mostos de uvas cuja fermentao tenha sido impedida ou interrompida poradio de °lcool:",,,,,
2204.21.00,Em recipientes de capacidade no superior a 2 l,"6,5",,,,
,"Ex 01 - Vinhos da madeira, do porto e de xerez",13,,,,
2204.22,"Em recipientes de capacidade superior a 2 l, mas no superior a 10 l",,,,,
2204.22.1,Vinhos,,,,,
2204.22.11,Em recipientes de capacidade no superior a 5 l,"6,5",,,,
,"Ex 01 - Vinhos da madeira, do porto e de xerez",13,,,,
2204.22.19,Outros,"6,5",,,,
,"Ex 01 - Vinhos da madeira, do porto e de xerez",13,,,,
2204.22.20,Mostos,"6,5",,,,
2204.29,Outros,,,,,
2204.29.10,Vinhos,"6,5",,,,
,"Ex 01 - Vinhos da madeira, do porto e de xerez",13,,,,
2204.29.20,Mostos,"6,5",,,,
2204.30.00, Outros mostos de uvas,"6,5",,,,
,,,,,,
22.05,"Vermutes e outros vinhos de uvas frescas aromatizados por plantas ou subst¢nciasarom°ticas.",,,,,
2205.10.00,- Em recipientes de capacidade no superior a 2 l,"9,75",,,,
2205.90.00, Outros,"9,75",,,,
,,,,,,
2206,"Outras bebidas fermentadas (por exemplo, sidra, perada, hidromel, saqu™); misturasdebebidasfermentadasemisturasdebebidasfermentadascombebidasnoalco≥licas, no especificadas nem compreendidas noutras posiµes.",,,,,
2206.00.10,Sidra,"6,5",,,,
2206.00.90,Outras,"6,5",,,,
,Ex 01 - Com teor alco≥lico superior a 14%,13,,,,
,,,,,,
22.07,"Ålcool et≠lico no desnaturado, com um teor alco≥lico, em volume, igual ou superiora 80 % vol.; °lcool et≠lico e aguardentes, desnaturados, com qualquer teor alco≥lico.",,,,,
2207.1,"- Ålcool et≠lico no desnaturado, com um teor alco≥lico, em volume, igual ou superior a80 % vol.",,,,,
2207.10.10,Com um teor de °gua inferior ou igual a 1 % vol.,0,,,,
,"Ex 01 - Para fins carburantes, com as especificaµes determinadas pela ANP",NT,,,,
,Ex 02 - Retificado (°lcool neutro),"5,2",,,,
2207.10.90,Outros,0,,,,
,"Ex 01 - Para fins carburantes, com as especificaµes determinadas pela ANP",NT,,,,
,Ex 02 - Retificado (°lcool neutro),"5,2",,,,
2207.2,"- Ålcool et≠lico e aguardentes, desnaturados, com qualquer teor alco≥lico",,,,,
2207.20.1,Ålcool et≠lico,,,,,
2207.20.11,Com um teor de °gua inferior ou igual a 1 % vol.,"5,2",,,,
,"Ex 01 - Para fins carburantes, com as especificaµes determinadas pela ANP",NT,,,,
2207.20.19,Outros,"5,2",,,,
,"Ex 01 - Para fins carburantes, com as especificaµes determinadas pela ANP",NT,,,,
2207.20.20,Aguardente,"5,2",,,,
,,,,,,
22.08,"Ålcool et≠lico no desnaturado, com um teor alco≥lico, em volume, inferior a 80 %vol.; aguardentes, licores e outras bebidas espirituosas.",,,,,
2208.20.00," Aguardentes de vinho ou de bagao, de uvas","19,5",,,,
2208.3, U≠sques,,,,,
2208.30.10,"Com um teor alco≥lico, em volume, superior a 50 % vol., em recipientes de capacidadeigual ou superior a 50 l","19,5",,,,
2208.30.20,Em embalagens de capacidade inferior ou igual a 2 l,"19,5",,,,
2208.30.90,Outros,"19,5",,,,
2208.40.00,"- Rum e outras aguardentes provenientes da destilao, ap≥s fermentao, de produtos dacana-de-acar","16,25",,,,
,Ex 01 - Rum e outras aguardentes obtidas do melao da cana,"19,5",,,,
2208.50.00, Gim e genebra,"19,5",,,,
2208.60.00, Vodca,"19,5",,,,
2208.70.00, Licores,"19,5",,,,
2208.90.00, Outros,"19,5",,,,
,Ex 01 - Ålcool et≠lico,"5,2",,,,
,Ex 02 - Bebida refrescante com teor alco≥lico inferior a 8%,13,,,,
,,,,,,
2209.00.00,"Vinagres e seus suced¢neos obtidos a partir do °cido actico, para uso alimentar.",0,,,,
23.01,"Farinhas, p≥s e pellets, de carnes, miudezas, peixes ou crust°ceos, moluscos ou deoutros invertebrados aqu°ticos, impr≥prios para alimentao humana; torresmos.",,,,,
2301.1,"- Farinhas, p≥s e pellets, de carnes ou de miudezas; torresmos",,,,,
2301.10.10,De carne,0,,,,
2301.10.90,Outros,0,,,,
2301.2,"- Farinhas, p≥s e pellets, de peixes ou crust°ceos, moluscos ou de outros invertebradosaqu°ticos",,,,,
2301.20.10,De peixes,0,,,,
2301.20.90,Outros,0,,,,
,,,,,,
23.02,"S™meas, farelos e outros res≠duos, mesmo em pellets, da peneirao, moagem ou deoutros tratamentos de cereais ou de leguminosas.",,,,,
2302.10.00, de Milho,0,,,,
2302.3, de Trigo,,,,,
2302.30.10,Farelo,0,,,,
2302.30.90,Outros,0,,,,
2302.40.00, de Outros cereais,0,,,,
2302.50.00, de leguminosas,0,,,,
,,,,,,
23.03,"Res≠duos da fabricao do amido e res≠duos semelhantes, polpas de beterraba,bagaos de cana-de-acar e outros desperd≠cios da indstria do acar, borras edesperd≠cios da indstria da cerveja e das destilarias, mesmo em pellets.",,,,,
2303.10.00, Res≠duos da fabricao do amido e Res≠duos semelhantes,NT,,,,
2303.20.00,"- Polpas de beterraba, bagaos de cana-de-acar e outros desperd≠cios da indstria doacar",NT,,,,
2303.30.00, Borras e desperd≠cios da indstria da Cerveja e das destilarias,NT,,,,
,,,,,,
2304,"Tortas (bagaos) e outros res≠duos s≥lidos, mesmo triturados ou em pellets, daextrao do ≥leo de soja.",,,,,
2304.00.10,Farinhas e pellets,0,,,,
2304.00.90,Outros,0,,,,
,,,,,,
2305.00.00,"Tortas (bagaos) e outros res≠duos s≥lidos, mesmo triturados ou em pellets, daextrao do ≥leo de amendoim.",0,,,,
,,,,,,
23.06,"Tortas (bagaos) e outros res≠duos s≥lidos, mesmo triturados ou em pellets, daextrao de gorduras ou ≥leos vegetais ou de origem microbiana, exceto os dasposiµes 23.04 ou 23.05.",,,,,
2306.10.00, de Sementes de algodo,0,,,,
2306.20.00, de linhaa (Sementes de linho),0,,,,
2306.3, de Sementes de girassol,,,,,
2306.30.10,"Tortas (bagaos), farinhas e pellets",0,,,,
2306.30.90,Outros,0,,,,
2306.4,- De sementes de nabo silvestre ou de colza:,,,,,
2306.41.00,Com baixo teor de °cido ercico,0,,,,
2306.49.00,Outros,0,,,,
2306.50.00, de coco ou de copra,0,,,,
2306.60.00, de Nozes ou de Am™ndoas de palma (palmiste) (coconote),0,,,,
2306.9, Outros,,,,,
2306.90.10,De germe de milho,0,,,,
2306.90.90,Outros,0,,,,
,,,,,,
2307.00.00,Borras de vinho; t°rtaro em bruto.,NT,,,,
,,,,,,
2308.00.00,"Matrias vegetais e desperd≠cios vegetais, res≠duos e subprodutos vegetais, mesmoem pellets, do tipo utilizado na alimentao de animais, no especificados nemcompreendidos noutras posiµes.",0,,,,
,,,,,,
23.09,Preparaµes do tipo utilizado na alimentao de animais.,,,,,
2309.10.00," Alimentos para ces ou gatos, acondicionados para venda a retalho","6,5",,,,
2309.9, Outras,,,,,
2309.90.10,"Preparaµes destinadas a fornecer ao animal a totalidade dos elementos nutritivosnecess°rios para uma alimentao di°ria racional e equilibrada (alimentos compostoscompletos)",0,,,,
,Ex 01 - Para ces e gatos,"6,5",,,,
2309.90.20,"Preparaµes † base de sal iodado, farinha de ossos, farinha de concha, cobre e cobalto",0,,,,
2309.90.30,Bolachas e biscoitos,"6,5",,,,
2309.90.40,Preparaµes que contenham diclazuril,0,,,,
2309.90.50,"Preparaµes com um teor de cloridrato de ractopamina igual ou superior a 2 %, empeso, com suporte de farelo de soja",0,,,,
2309.90.60,"Preparaµes que contenham xilanase e betagluconase, com suporte de farinha de trigo",0,,,,
