Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,
,,,Breakfast cereals:,,,
,,,In packs not exceeding 1 kg:,,,
,02D,kg,Mainly of maize,,,
,05J,kg,Mainly of oats,,,
,11C,kg,Mainly of rice,,,
,15F,kg,Mainly of wheat,,,
,19J,kg,Other,,,
,,,Other:,,,
,21L,kg,Mainly of maize,,,
,25C,kg,Mainly of oats,,,
,31H,kg,Mainly of rice,,,
,35L,kg,Mainly of wheat,,,
,39C,kg,Other,,,
,,,Other:,,,
,41E,kg,Maize,,,
,45H,kg,Oats,,,
,51B,kg,Rice,,,
,55E,kg,Wheat,,,
,61K,kg,Mixtures,,,
,69E,kg,Other,,,
1904.2,,,Prepared foods obtained from unroasted cereal flakes or from mixtures,,,
,,,of unroasted cereal flakes and roasted cereal flakes or swelled cereals:,,,
1904.20.10,00K,kg,Coated with chocolate or cocoa,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1904.20.50,00A,kg,Muesli,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,"Prepared foods obtained by the swelling or roasting, etc.continued",,,
,,,"Prepared foods obtained from unroasted cereal flakes, etc.continued",,,
1904.20.90,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Breakfast cereals:,,,
,,,In packs not exceeding 1 kg:,,,
,02K,kg,Mainly of maize,,,
,05D,kg,Mainly of oats,,,
,11J,kg,Mainly of rice,,,
,15A,kg,Mainly of wheat,,,
,19D,kg,Other,,,
,,,Other:,,,
,21F,kg,Mainly of maize,,,
,25J,kg,Mainly of oats,,,
,31C,kg,Mainly of rice,,,
,35F,kg,Mainly of wheat,,,
,39J,kg,Other,,,
,,,Other:,,,
,41L,kg,Maize,,,
,45C,kg,Oats,,,
,51H,kg,Rice,,,
,55L,kg,Wheat,,,
,61E,kg,Mixtures,,,
,69L,kg,Other,,,
1904.30.00,00H,kg,Bulgur wheat,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
1904.9,,,Other:,,,
1904.90.01,00F,kg,Coated with chocolate,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1904.90.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,Breakfast cereals:,,,
,01E,kg,Muesli,,,
,09L,kg,Other,,,
,29E,kg,Other,,,
19.05,,,"Bread, pastry, cakes, biscuits and other bakersÄô wares, whether or not",,,
,,,"containing cocoa; communion wafers, empty cachets of a kind suitable",,,
,,,"for pharmaceutical use, sealing wafers, rice paper and similar products:",,,
1905.10.00,00J,kg,Crispbread,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1905.20.00,00B,.,Gingerbread and the like,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Sweet biscuits; waffles and wafers:,,,
1905.31.00,,,Sweet biscuits,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Centre-filled:,,,
,21C,kg,Fully coated,,,
,23K,kg,Partly coated,,,
,29J,kg,Other,,,
,,,Other:,,,
,31L,kg,Fully coated,,,
,33G,kg,Partly coated,,,
,39F,kg,Other,,,
,,,"Bread, pastry, cakes, biscuits and other bakersÄô wares, etc.continued",,,
,,,Sweet biscuits; waffles and waferscontinued,,,
1905.32.00,,,Waffles and wafers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Centre-filled:,,,
,21H,kg,Fully coated,,,
,23D,kg,Partly coated,,,
,29C,kg,Other,,,
,,,Other:,,,
,31E,kg,Fully coated,,,
,33A,kg,Partly coated,,,
,39L,kg,Other,,,
1905.40.00,,,"Rusks, toasted bread and similar toasted products",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,01H,kg,"Containing added sugar, honey, fats, cheese or cocoa",,,
,09C,kg,Other,,,
1905.9,,,Other:,,,
1905.90.01,00D,.,Communion wafers; passover bread,Free,Free,
1905.90.05,00K,kg,Crackers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1905.90.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,01C,kg,"Biscuits, other than sweet biscuits",,,
,09J,kg,Cakes,,,
,19F,.,Other,,,
20.01,,,"Vegetables, fruit, nuts and other edible parts of plants, prepared or",,,
,,,preserved by vinegar or acetic acid:,,,
2001.10.00,,,Cucumbers and gherkins,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01B,kg,Cucumbers,,,
,09H,kg,Mixtures consisting of cucumber and dill seeds,,,
,19E,kg,Gherkins,,,
2001.9,,,Other:,,,
2001.90.01,,,"Other vegetables, fruit and nuts",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,12C,kg,Onions,,,
,19L,kg,Other,,,
2001.90.09,00L,kg,Other edible parts of plants,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
20.02,,,Tomatoes prepared or preserved otherwise than by vinegar or acetic,,,
,,,acid:,,,
2002.10.00,00B,kg,"Tomatoes, whole or in pieces",Free,Free,
2002.9,,,Other:,,,
2002.90.01,00H,kg,"Juice, pure and concentrate",Free,Free,
2002.90.09,00J,kg,Other,Free,Free,
20.03,,,"Mushrooms and truffles, prepared or preserved otherwise than by",,,
,,,vinegar or acetic acid:,,,
2003.10.10,00F,kg,Mushrooms of the genus Agaricus,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2003.9,,,Other:,,,
2003.90.10,00E,kg,Truffles,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2003.90.90,00J,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
20.04,,,Other vegetables prepared or preserved otherwise than by vinegar or,,,
,,,"acetic acid, frozen, other than products of heading 20.06:",,,
2004.10.00,00J,kg,Potatoes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
2004.9,,,Other vegetables and mixtures of vegetables:,,,
2004.90.01,00D,kg,"Sweetcorn, vine leaves, yams (sweet potatoes), hop shoots and palm",,,
,,,hearts,5,Free,
,,,,,*See Below,
,,,,,CA Free,
2004.90.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,01C,kg,Olives and capers,,,
,09J,kg,Beans,,,
,11L,kg,Peas,,,
,19F,kg,Other,,,
20.05,,,Other vegetables prepared or preserved otherwise than by vinegar or,,,
,,,"acetic acid, not frozen, other than products of heading 20.06:",,,
2005.10.00,00G,kg,Homogenised vegetables,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
2005.20.00,,,Potatoes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,01J,kg,Preserved in airtight cans,,,
,09D,kg,Other,,,
2005.40.00,00H,kg,Peas (Pisum sativum),5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,"Beans (Vigna spp., Phaseolus spp.):",,,
2005.51.00,,,"Beans, shelled",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01D,kg,Baked,,,
,09K,kg,Other,,,
2005.59.00,00B,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
2005.60.00,00E,kg,Asparagus,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2005.70.00,00J,kg,Olives,Free,Free,
2005.80.00,00B,kg,Sweet corn (Zea mays varsaccharata),5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Other vegetables and mixtures of vegetables:,,,
2005.91.00,00L,kg,Bamboo shoots,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
2005.99,,,Other:,,,
2005.99.01,00C,kg,Capers,Free,Free,
2005.99.09,,,Other kinds,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,17J,kg,Beetroot,,,
,21G,kg,Other,,,
20.06,,,,,,
2006,,,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved",,,
,,,"by sugar (drained, glac or crystallised):",,,
2006.00.10,00G,kg,Fruit peel,Free,Free,
,,,Vegetables:,,,
2006.00.20,00B,kg,Asparagus,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2006.00.30,,,Olives and capers,Free,Free,
,01F,kg,Olives,,,
,09A,kg,Capers,,,
,,,"Vegetables, fruit, nuts, fruit-peel and other parts, etc.continued",,,
,,,Vegetablescontinued,,,
2006.00.40,00C,kg,"Sweetcorn (Zea mays var., saccharata)",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2006.00.50,,,"Peas (Pisum sativum) and beans (Vigna spp., Phaseolus spp.)",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,01G,kg,Peas (Pisum sativum),,,
,,,"Beans (Vigna spp., Phaseolus spp.):",,,
,,,"Beans, shelled:",,,
,11D,kg,Baked,,,
,15G,kg,Other,,,
,19K,kg,Other,,,
2006.00.70,,,Other vegetables and mixtures of vegetables,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01H,kg,Beetroot,,,
,09C,kg,Other,,,
2006.00.90,00L,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
20.07,,,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut",,,
,,,"pastes, obtained by cooking, whether or not containing added sugar or",,,
,,,other sweetening matter:,,,
2007.10.00,00C,kg,Homogenised preparations,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,Other:,,,
2007.91.00,00G,kg,Citrus fruit,5,Free,
,,,,,*See Below,
,,,,,CA 2,
2007.99.00,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 5,
,,,,,1/2025 5,
,10L,kg,Blackcurrant puree,,,
,19D,kg,Other,,,
20.08,,,"Fruit, nuts and other edible parts of plants, otherwise prepared or",,,
,,,"preserved, whether or not containing added sugar or other sweetening",,,
,,,"matter or spirit, not elsewhere specified or included:",,,
,,,"Nuts, ground-nuts and other seeds, whether or not mixed together:",,,
2008.11.00,,,Ground-nuts,Free,Free,
,01D,kg,Peanut butter,,,
,,,Other:,,,
,,,Roasted:,,,
,21J,kg,Mixtures,,,
,31F,kg,Other,,,
,39A,kg,Not roasted,,,
2008.19,,,"Other, including mixtures:",,,
2008.19.01,00J,kg,Cashew nuts,Free,Free,
2008.19.09,,,Other,Free,Free,
,,,Roasted:,,,
,01H,kg,Almonds,,,
,11E,kg,Hazelnuts (filberts),,,
,21B,kg,Macadamia nuts,,,
,29H,kg,Other,,,
,,,Not roasted:,,,
,31K,kg,Macadamia nuts,,,
,39E,kg,Other,,,
2008.2,,,Pineapples:,,,
2008.20.01,00A,kg,"Cooked and preserved by freezing, not containing added sugar",Free,Free,
,,,"Fruit, nuts and other edible parts of plants, otherwise, etc.continued",,,
,,,Pineapplescontinued,,,
2008.20.09,00B,kg,Other,Free,Free,
2008.3,,,Citrus fruit:,,,
2008.30.01,00E,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2008.30.09,,,Other,Free,Free,
,01D,kg,"Oranges, tangerines, mandarins",,,
,09K,kg,Other,,,
2008.4,,,Pears:,,,
2008.40.01,00J,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.40.09,00K,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.5,,,Apricots:,,,
2008.50.01,00B,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.50.09,00C,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.6,,,Cherries:,,,
2008.60.01,00F,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.60.09,00G,kg,Other,Free,Free,
2008.7,,,"Peaches, including nectarines:",,,
2008.70.01,00K,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.70.09,00L,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.8,,,Strawberries:,,,
2008.80.01,00C,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2008.80.09,00D,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,"Fruit, nuts and other edible parts of plants, otherwise, etc.continued",,,
,,,"Other, including mixtures other than those of subheading 2008.19:",,,
2008.91.00,00E,kg,Palm hearts,5,Free,
,,,,,*See Below,
,,,,,CA Free,
2008.93,,," Cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos);",,,
,,,lingonberries (Vaccinium vitis-idaea):,,,
2008.93.10,00K,kg,"Cooked and preserved by freezing, not containing other sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
2008.93.90,00C,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2008.97.00,,,Mixtures,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,10K,kg,Of fruit,,,
,19C,kg,Other,,,
2008.99,,,Other:,,,
2008.99.01,,,"Stems and other parts of plants, except fruit",Free,Free,
,,,Preserved in juice or syrup:,,,
,01F,kg,Ginger,,,
,09A,kg,Other,,,
,29F,.,Other,,,
,,,Other:,,,
2008.99.11,,,"Cooked and preserved by freezing, not containing added sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01A,kg,Raspberries,,,
,08J,kg,Boysenberries,,,
,31C,kg,Kiwifruit,,,
,49F,kg,Other,,,
,,,Other:,,,
2008.99.21,00J,kg,Prunes,Free,Free,
2008.99.25,,,"Apples, plums",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01B,kg,Apples,,,
,09H,kg,Plums,,,
2008.99.31,,,Other berry fruit,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01B,kg,Blackcurrants,,,
,05E,kg,Raspberries,,,
,11K,kg,Boysenberries,,,
,29B,kg,Other,,,
2008.99.39,,,Other,Free,Free,
,01C,kg,Kiwifruit,,,
,09J,kg,Guavas,,,
,11L,kg,Papaws,,,
,49H,kg,Other,,,
20.09,,,Fruit or nut juices (including grape must and coconut water) and,,,
,,,"vegetable juices, unfermented and not containing added spirit,",,,
,,,whether or not containing added sugar or other sweetening matter:,,,
,,,Orange juice:,,,
2009.11,,,Frozen:,,,
,,,In bulk containers:,,,
2009.11.01,00L,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.11.09,00A,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,In other containers:,,,
2009.11.11,00F,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 5,
,,,,,1/2025 5,
2009.11.19,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.12,,,"Not frozen, of a Brix value not exceeding 20:",,,
,,,In bulk containers:,,,
2009.12.11,00L,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.12.19,00A,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,In other containers:,,,
2009.12.21,00F,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.12.29,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.19,,,Other:,,,
,,,In bulk containers:,,,
2009.19.12,00J,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
2009.19.18,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,In other containers:,,,
2009.19.21,00H,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.19.29,00J,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,"Fruit or nut juices (including grape must and coconut, etc.continued",,,
,,,Grapefruit juice; pomelo juice:,,,
2009.21,,,Of a Brix value not exceeding 20:,,,
,,,In bulk containers:,,,
2009.21.11,00K,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.21.19,00L,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,In other containers:,,,
2009.21.21,00E,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
2009.21.29,00F,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.29,,,Other:,,,
,,,In bulk containers:,,,
2009.29.11,00F,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.29.19,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,In other containers:,,,
2009.29.21,00A,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
2009.29.29,00B,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Juice of any other single citrus fruit:,,,
2009.31,,,Of a Brix value not exceeding 20:,,,
,,,Lime:,,,
,,,In bulk containers:,,,
2009.31.11,00C,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.31.19,00D,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,In other containers:,,,
2009.31.21,00J,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.31.29,00K,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,"Fruit or nut juices (including grape must and coconut, etc.continued",,,
,,,Juice of any other single citrus fruitcontinued,,,
,,,Of a Brix value not exceeding 20continued,,,
,,,Other:,,,
,,,In bulk containers:,,,
2009.31.31,,,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,11K,l,Lemon,,,
,19E,l,Other,,,
2009.31.39,,,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,11L,l,Lemon,,,
,19F,l,Other,,,
,,,In other containers:,,,
2009.31.41,,,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,11E,l,Lemon,,,
,19L,l,Other,,,
2009.31.49,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,11F,l,Lemon,,,
,19A,l,Other,,,
2009.39,,,Other:,,,
,,,Lime:,,,
,,,In bulk containers:,,,
2009.39.11,00K,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.39.19,00L,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,In other containers:,,,
2009.39.21,00E,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 5,
,,,,,1/2025 5,
2009.39.29,00F,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,Other:,,,
,,,In bulk containers:,,,
2009.39.31,,,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,11F,l,Lemon,,,
,19A,l,Other,,,
2009.39.39,,,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,11G,l,Lemon,,,
,19B,l,Other,,,
,,,"Fruit or nut juices (including grape must and coconut, etc.continued",,,
,,,Juice of any other single citrus fruitcontinued,,,
,,,Othercontinued,,,
,,,Othercontinued,,,
,,,In other containers:,,,
2009.39.41,,,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,11A,l,Lemon,,,
,19G,l,Other,,,
2009.39.49,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,11B,l,Lemon,,,
,19H,l,Other,,,
,,,Pineapple juice:,,,
2009.41.00,,,Of a Brix value not exceeding 20,Free,Free,
,,,In bulk containers:,,,
,11L,l,Containing added sugar,,,
,19F,l,Other,,,
,,,In other containers:,,,
,21H,l,Containing added sugar,,,
,29C,l,Other,,,
2009.49.00,,,Other,Free,Free,
,,,In bulk containers:,,,
,11G,l,Containing added sugar,,,
,19B,l,Other,,,
,,,In other containers:,,,
,21D,l,Containing added sugar,,,
,29K,l,Other,,,
2009.5,,,Tomato juice:,,,
,,,In bulk containers:,,,
2009.50.01,00L,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.50.09,00A,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,In other containers:,,,
2009.50.11,00F,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA 2,
2009.50.19,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA 4.5,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Grape juice (including grape must):,,,
2009.61,,,Of a Brix value not exceeding 30:,,,
,,,In bulk containers:,,,
2009.61.11,00D,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.61.19,00E,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,"Fruit or nut juices (including grape must and coconut, etc.continued",,,
,,,Grape juice (including grape must)continued,,,
,,,Of a Brix value not exceeding 30continued,,,
,,,In other containers:,,,
2009.61.21,00K,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
2009.61.29,00L,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.69,,,Other:,,,
,,,In bulk containers:,,,
2009.69.11,00L,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.69.19,00A,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,In other containers:,,,
2009.69.21,00F,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
2009.69.29,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,Apple juice:,,,
2009.71,,,Of a Brix value not exceeding 20:,,,
,,,In bulk containers:,,,
2009.71.11,00H,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.71.19,00J,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,In other containers:,,,
2009.71.21,00C,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.71.29,00D,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.79,,,Other:,,,
,,,In bulk containers:,,,
2009.79.31,00E,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2009.79.39,00F,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,"Fruit or nut juices (including grape must and coconut, etc.continued",,,
,,,Apple juicecontinued,,,
,,,Othercontinued,,,
,,,In other containers:,,,
2009.79.41,00L,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
2009.79.49,00A,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,"Juice of any other single fruit, nut or vegetable:",,,
2009.81,,,"Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos) juice;",,,
,,,lingonberry (Vaccinium vitis-idaea) juice:,,,
,,,In bulk containers:,,,
2009.81.10,00E,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
2009.81.20,00L,l,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
2009.81.90,,,In other containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,10F,l,Containing added sugar,,,
,19K,l,Other,,,
2009.89,,,Other:,,,
,,,In bulk containers:,,,
2009.89.10,,,Containing added sugar,5,Free,
